"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","kitty's fine"
"US/Brown/Adam/adam01.xml","brown","what's Daddy's name"
"US/Brown/Adam/adam01.xml","brown","is that a light"
"US/Brown/Adam/adam01.xml","brown","is that Adam's shoe"
"US/Brown/Adam/adam01.xml","brown","camper"
"US/Brown/Adam/adam01.xml","brown","can you play it"
"US/Brown/Adam/adam01.xml","brown","you like to walk"
"US/Brown/Adam/adam01.xml","brown","Mommy can't march"
"US/Brown/Adam/adam01.xml","brown","no Mommy can't march"
"US/Brown/Adam/adam01.xml","brown","Catherine"
"US/Brown/Adam/adam01.xml","brown","maybe Catherine can march"
"US/Brown/Adam/adam01.xml","brown","no you march"
"US/Brown/Adam/adam01.xml","brown","Catherine"
"US/Brown/Adam/adam01.xml","brown","where is Catherine"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","no you write on paper with pencil"
"US/Brown/Adam/adam02.xml","brown","that's his name"
"US/Brown/Adam/adam02.xml","brown","whose suitcase is that"
"US/Brown/Adam/adam02.xml","brown","what does it say"
"US/Brown/Adam/adam02.xml","brown","spaghetti"
"US/Brown/Adam/adam02.xml","brown","what is that"
"US/Brown/Adam/adam02.xml","brown","put the ball where"
"US/Brown/Adam/adam02.xml","brown","tape recorder"
"US/Brown/Adam/adam02.xml","brown","no you can't put the ball on the tape recorder"
"US/Brown/Adam/adam02.xml","brown","over there"
"US/Brown/Adam/adam02.xml","brown","what"
"US/Brown/Adam/adam02.xml","brown","what did the ball hit"
"US/Brown/Adam/adam02.xml","brown","oh hit Mommy's rug"
"US/Brown/Adam/adam02.xml","brown","where did it go"
"US/Brown/Adam/adam02.xml","brown","in there"
"US/Brown/Adam/adam02.xml","brown","is it under the chair"
"US/Brown/Adam/adam02.xml","brown","I'm afraid you might get stuck"
"US/Brown/Adam/adam02.xml","brown","see you later again"
"US/Brown/Adam/adam02.xml","brown","alright"
"US/Brown/Adam/adam02.xml","brown","Adam whose ball is that"
"US/Brown/Adam/adam02.xml","brown","no you can't sit on my book"
"US/Brown/Adam/adam02.xml","brown","what kind is that"
"US/Brown/Adam/adam02.xml","brown","what is that"
"US/Brown/Adam/adam02.xml","brown","this is a diesel locomotive"
"US/Brown/Adam/adam02.xml","brown","can you say that"
"US/Brown/Adam/adam02.xml","brown","baggage car"
"US/Brown/Adam/adam02.xml","brown","streamlined coach"
"US/Brown/Adam/adam02.xml","brown","sleeping car"
"US/Brown/Adam/adam02.xml","brown","dining car"
"US/Brown/Adam/adam02.xml","brown","modern steam locomotive"
"US/Brown/Adam/adam02.xml","brown","electric locomotive"
